source_name,segment,instrument,clicked_year,month_label,date,daily_turnover,daily_volume,active_trading_days,source_level,raw_col_1,raw_col_2,raw_col_3,raw_col_4,raw_col_5,raw_col_6,raw_col_7,raw_col_8,raw_col_9,raw_col_10,raw_col_11,raw_col_12,raw_col_13,raw_col_14,raw_col_15,raw_col_16,raw_col_17,raw_col_18,raw_col_19
capital_market,Capital Market,NA,2012-2013,Dec-2012,,240325.0,153442.0,20.0,capital_market_year_summary_table,Dec-12,"1,665",76,"1,580",20,"1,716","1,166","1,53,442","2,40,325","12,016","20,608","1,53,442","2,40,325","67,63,781",,,,,
capital_market,Capital Market,NA,2013-2014,Dec-2013,,230817.0,133961.0,21.0,capital_market_year_summary_table,Dec-13,"1,679",75,"1,577",21,"1,724","1,161","1,33,961","2,30,817","10,991","19,880","1,33,961","2,30,817","68,84,167",,,,,
capital_market,Capital Market,NA,2014-2015,Dec-2014,,354473.0,177522.0,22.0,capital_market_year_summary_table,Dec-14,"1,708",63,"1,583",22,"1,780","1,525","1,77,522","3,54,473","16,112","23,238","1,77,522","3,54,473","96,00,459",,,,,
capital_market,Capital Market,NA,2015-2016,Dec-2015,,334954.0,198467.0,22.0,capital_market_year_summary_table,Dec-15,"1,794",4,"1,599",22,"1,815","1,480","1,98,467","3,34,954","15,225","22,631","1,98,467","3,34,954","98,31,658",,,,,
capital_market,Capital Market,NA,2016-2017,Dec-2016,,342747.0,169203.0,22.0,capital_market_year_summary_table,Dec-16,"1,840",4,"1,680",22,"1,939","1,531","1,69,203","3,42,747","15,579","22,385","1,69,203","3,42,747","1,04,39,621",,,,,
capital_market,Capital Market,NA,2017-2018,Dec-2017,,598032.0,348526.0,20.0,capital_market_year_summary_table,Dec-17,"1,897",4,"1,786",20,"2,118","2,104","3,48,526","5,98,032","29,902","28,420","3,48,526","5,98,032","1,49,82,296",,,,,
capital_market,Capital Market,NA,2018-2019,Dec-2018,,599917.0,287797.0,20.0,capital_market_year_summary_table,Dec-18,"1,923",4,"1,879",20,"2,238","2,199","2,87,797","5,99,917","29,996","27,283","2,87,797","5,99,917","1,42,79,083",,,,,
capital_market,Capital Market,NA,2019-2020,Dec-2019,,681983.0,391115.0,21.0,capital_market_year_summary_table,Dec-19,"1,955",19,"1,902",21,"2,438","2,237","3,91,115","6,81,983","32,475","30,483","3,91,115","6,81,983","1,54,31,967",,,,,
capital_market,Capital Market,NA,2020-2021,Dec-2020,,1374552.0,739170.0,22.0,capital_market_year_summary_table,Dec-20,"1,962",22,"1,888",22,"2,490","4,088","7,39,170","13,74,552","62,480","33,627","7,39,170","13,74,552","1,86,46,769",,,,,
capital_market,Capital Market,NA,2021-2022,Dec-2021,,1232735.0,668874.0,23.0,capital_market_year_summary_table,Dec-21,"2,053",27,"1,987",23,"2,550","4,496","6,68,874","12,32,735","53,597","27,416","6,68,874","12,32,735","2,64,02,579",,,,,
capital_market,Capital Market,NA,2022-2023,Dec-2022,,1160846.0,870449.0,22.0,capital_market_year_summary_table,Dec-22,"2,168",29,"2,099",22,"2,897","4,250","8,70,449","11,60,846","52,766","27,317","8,70,449","11,60,846","2,80,19,281",,,,,
capital_market,Capital Market,NA,2023-2024,Dec-2023,,2079594.0,1035836.0,20.0,capital_market_year_summary_table,Dec-23,"2,370",5,"2,298",20,"3,331","6,822","10,35,836","20,79,594","1,03,980","30,484","10,35,836","20,79,594","3,61,05,548",,,,,
capital_market,Capital Market,NA,2024-2025,Dec-2024,,2185830.0,712546.0,21.0,capital_market_year_summary_table,Dec-24,"2,673",3,"2,603",21,"3,813","7,484","7,12,546","21,85,830","1,04,087","29,206","7,12,546","21,85,830","4,38,93,974",,,,,
capital_market,Capital Market,NA,2025-2026,Dec-2025,,2078923.0,1030030.0,22.0,capital_market_year_summary_table,Dec-25,"2,933",3,"2,855",22,"4,020","6,683","10,30,030","20,78,923","94,496","31,110","10,30,030","20,78,923","4,73,63,702",,,,,
